Species ,Type strain ,16s rDNA ,gyrB gene,rpoD gene,rpoB gene,Genome
Pseudomonas marincola,JCM 14761 ,AB301071.1,FN554201.1,FN554483.1,FN554739.1,FPBC00000000.1
Pseudomonas massiliensis,CB1,CCYK00000000.1,CCYK00000000.1,CCYK00000000.1,CCYK00000000.1,CCYK00000000.1
Pseudomonas matsuisoli,CCMHH0089,KJ720680.1,KM249139.1,MK191849.1,KM249140.1,-
Pseudomonas mediterranea,CFBP 5447,AF386080.1,AM084678.2,AM084337.1,AJ717449.1,LT629790.1
Pseudomonas mendocina,ATCC 25411,D84016.1,AJ633103.1,AJ633567.1,AJ279967.1,BBQC00000000.1
Pseudomonas meridiana,CIP 108465, AJ537602 .1,FN554203.1,FN554485.1,FN554740.1,-
Pseudomonas migulae,CCUG 43165,AF074383.1,FN554204.1,FN554486.1,AJ717446.1,FNTY00000000.1
Pseudomonas mohnii,CCUG 53115,AM293567.1,AM293561.1,FN554487.1,FN554741.1,FNRV00000000.1
Pseudomonas monteilii,ATCC 700476,AF064458.1,FN554205.1,FN554488.1,AJ717455.1,JHYV00000000.1
Pseudomonas moorei,CCUG 53114,AM293566.1,AM293560.1,FN554489.1,FN554742.1,FNKJ00000000.1
Pseudomonas moraviensis,DSM 16007,AY970952.1,FN554206.1,FN554490.1,FN554743.1,LT629788.1
Pseudomonas mosselii,ATCC BAA-99,AF072688.2,FN554207.1,FN554491.1,FN554744.1,JHYW00000000.1
Pseudomonas mucidolens,LMG 2223,D84017.1,AB039409.1,AB039546.1,AJ717427.1,LT629802.1
